"iso2c","count_bpho","urb","ugr","vdr","adis","Species"
"MX",22,78.53788888888889,1.5599763934083455,329.1976666666667,3.5363333333333333,80
"AR",19,91.13022222222222,1.1530854690120993,276.049,5.366666666666666,24
"IL",4,92.02355555555556,1.9456803844518389,91.85133333333333,3.8316666666666666,23
"LT",4,67.1583888888889,-0.9773195269241761,239.809,4.608666666666666,1
"BA",3,46.41844444444445,-0.6362221130272755,454.2733333333333,3.776333333333333,5
"LB",3,87.743,1.3743968395785693,161.31433333333334,6.466,9
"PR",4,93.77566666666667,-0.9208258686491898,214.511,4.643,0
"SG",13,100,1.56485087624251,NA,3.0076666666666667,21
"ZW",3,32.949777777777776,1.1988206069902618,139.33933333333334,3.287333333333333,24
"FR",18,79.02866666666667,0.7942563695508376,98.57666666666667,6.9526666666666666,8
"IT",19,69.12877777777778,0.4792353370995876,90.786,5.729333333333333,9
"MM",4,29.443,1.4896006529611168,226.40566666666666,3.933666666666667,48
"EC",10,62.99344444444444,1.8871407795244957,401.3093333333333,5.351,47
"PY",7,59.96527777777778,1.7634691698285383,329.9696666666667,6.4656666666666665,23
"PT",10,61.98938888888889,0.883940992537884,97.73033333333333,8.639333333333333,0
"BO",6,67.30455555555555,2.2006801568837537,391.30066666666664,5.865333333333333,30
"BR",21,85.01294444444444,1.2244130268764184,247.80599999999998,7.771333333333334,74
"MD",3,42.6725,-0.6306978531478054,309.766,4.35,3
"AL",2,54.6435,1.486446087259176,421.204,3.9683333333333333,5
"AZ",5,54.199555555555555,1.644904330257431,200.13866666666667,2.671666666666667,11
"CO",17,78.80638888888889,1.7231736441400634,499.14733333333334,4.866666666666667,53
"BG",4,73.14138888888888,-0.21315543314611599,377.832,3.614,5
"TJ",1,26.786555555555555,2.356903051156688,243.01133333333334,2.485333333333333,7
"UZ",3,50.23544444444445,2.0549716048645785,218.89733333333334,2.118,4
"SH",1,NA,NA,NA,NA,0
"KH",2,21.415944444444445,2.91469800067896,145.34833333333333,4.570333333333333,25
"AE",8,84.78766666666667,5.375233705540816,102.52966666666667,4.337,17
"MY",14,72.26294444444444,2.7064307249694903,99.702,4.743333333333333,38
"VE",10,88.11672222222222,0.5246679068628005,513.297,3.97,36
"ES",19,79.02794444444444,0.9502731858164348,94.357,5.2523333333333335,10
"CY",2,67.37,1.0725920199782677,94.56033333333333,6.968,5
"RO",9,53.78616666666667,-0.5241516464325258,402.52866666666665,3.454,5
"GH",4,52.37038888888889,3.688622474602274,132.69633333333334,3.0083333333333333,24
"NG",10,45.59861111111111,4.538441410407334,118.943,2.9756666666666667,26
"AO",3,61.5085,4.849774467660102,163.78066666666666,4.017666666666667,32
"LK",2,18.350833333333334,0.9457389691352197,154.48266666666666,4.053333333333334,27
"HK",5,100,0.5364149893257277,NA,NA,0
"OM",2,78.78177777777778,4.53698391104911,119.01833333333333,4.7716666666666665,25
"DO",4,75.64888888888889,2.6299251167511106,354.85566666666665,4.63,0
"TR",13,72.11694444444444,2.0930704492187893,160.77433333333335,4.526666666666666,23
"BD",7,32.43,3.5663456649923346,358.385,3.175333333333333,30
